"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","0.5","10","150","1","52","32.81481481481482","41.12162162162162","46.8936170212766","122576","494","16","6","7","3"
"2","0.5","10","150","1.5","49","31.210526315789473","39.63513513513514","43.54545454545455","152488.5","891","21","2","7","12"
"3","0.5","10","150","2","53","32.23076923076923","41.810810810810814","48","152565.5","931","21","2","7","12"
"1","0.5","10","150","1","53","32.81481481481482","41.75675675675676","47.8936170212766","122589.5","499","16","6","7","3"
"3","0.5","10","150","2","54","33","42.45945945945946","48.8936170212766","152574","951","21","2","7","12"
"2","0.5","10","150","1.5","50","32.416666666666664","40.37837837837838","45.2","152498","916","21","2","7","12"
"1","0.5","10","150","1","54","33.535714285714285","42.391891891891895","48.78260869565217","122603","499","16","6","7","3"
"3","0.5","10","150","2","55","33","43.0945945945946","49.8936170212766","152582.5","951","21","1","7","13"
"2","0.5","10","150","1.5","51","33.12","41.054054054054056","46.10204081632653","152507.5","916","21","2","7","12"
"1","0.5","10","150","1","55","33.535714285714285","43.013513513513516","49.78260869565217","122616.5","499","16","6","7","3"
"3","0.5","10","150","2","56","33","43.729729729729726","50.8936170212766","152591","951","21","1","7","13"
"2","0.5","10","150","1.5","52","33.12","41.71621621621622","47.10204081632653","152517","916","21","2","7","12"
"1","0.5","10","150","1","56","33.535714285714285","43.63513513513514","50.78260869565217","122630","499","16","6","7","3"
"3","0.5","10","150","2","57","33","44.36486486486486","51.8936170212766","152599.5","951","21","1","7","13"
"2","0.5","10","150","1.5","53","33.12","42.37837837837838","48.10204081632653","152526.5","922","21","2","7","12"
"1","0.5","10","150","1","57","33.535714285714285","44.25675675675676","51.78260869565217","122643.5","499","16","6","7","3"
"3","0.5","10","150","2","58","33.857142857142854","45","52.78260869565217","152608","951","21","1","7","13"
"2","0.5","10","150","1.5","54","33.88461538461539","43.04054054054054","49","152536","922","21","2","7","12"
"1","0.5","10","150","1","58","34.3448275862069","44.87837837837838","52.666666666666664","122657","499","16","6","7","3"
"3","0.5","10","150","2","59","33.857142857142854","45.62162162162162","53.78260869565217","152616.5","951","21","1","7","13"
"2","0.5","10","150","1.5","55","33.88461538461539","43.689189189189186","50","152545.5","922","21","2","7","12"
"1","0.5","10","150","1","59","34.3448275862069","45.486486486486484","53.666666666666664","122670.5","499","16","6","7","3"
"3","0.5","10","150","2","60","33.857142857142854","46.24324324324324","54.78260869565217","152625","971","21","1","7","13"
"2","0.5","10","150","1.5","56","33.88461538461539","44.33783783783784","51","152555","922","21","2","7","12"
"3","0.5","10","150","2","61","33.857142857142854","46.86486486486486","55.78260869565217","152633.5","971","21","1","7","13"
"1","0.5","10","150","1","60","34.3448275862069","46.0945945945946","54.666666666666664","122684","519","16","6","7","3"
"2","0.5","10","150","1.5","57","33.88461538461539","44.986486486486484","52","152564.5","922","21","2","7","12"
"3","0.5","10","150","2","62","33.857142857142854","47.486486486486484","56.78260869565217","152642","971","21","1","7","13"
"1","0.5","10","150","1","61","34.3448275862069","46.7027027027027","55.666666666666664","122697.5","519","16","6","7","3"
"2","0.5","10","150","1.5","58","34.74074074074074","45.63513513513514","52.8936170212766","152573","942","21","2","7","12"
"3","0.5","10","150","2","63","35.233333333333334","48.108108108108105","57.88636363636363","152650.5","975","21","1","7","13"
