"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 00:39:46:968 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"3","0.5","10","150","2","54","33.5","42.37837837837838","48.78260869565217","152536.5","890","21","1","7","12"
"2","0.5","10","150","1.5","55","34.172413793103445","43.189189189189186","50","152563.5","905","21","1","7","12"
"1","0.5","10","150","1","54","33.370370370370374","42.5945945945946","48.8936170212766","158561","981","22","3","7","12"
"3","0.5","10","150","2","55","33.5","43","49.78260869565217","152546","910","21","2","7","12"
"2","0.5","10","150","1.5","56","34.172413793103445","43.7972972972973","51","152573","925","21","2","7","12"
"1","0.5","10","150","1","55","33.370370370370374","43.229729729729726","49.8936170212766","158570.5","1002","22","3","7","12"
"3","0.5","10","150","2","56","33.5","43.62162162162162","50.78260869565217","152555.5","910","21","2","7","12"
"2","0.5","10","150","1.5","57","34.172413793103445","44.4054054054054","52","152582.5","925","21","2","7","12"
"1","0.5","10","150","1","56","34.142857142857146","43.86486486486486","50.78260869565217","158580","1002","22","2","7","13"
"3","0.5","10","150","2","57","33.5","44.24324324324324","51.78260869565217","152565","910","21","2","7","12"
"2","0.5","10","150","1.5","58","34.93333333333333","45.013513513513516","52.88636363636363","152592","925","21","2","7","12"
"1","0.5","10","150","1","57","34.142857142857146","44.486486486486484","51.78260869565217","158589.5","1002","22","2","7","13"
"3","0.5","10","150","2","58","34.310344827586206","44.86486486486486","52.666666666666664","152574.5","910","21","2","7","12"
"2","0.5","10","150","1.5","59","34.93333333333333","45.608108108108105","53.88636363636363","152601.5","925","21","2","7","12"
"1","0.5","10","150","1","58","34.93103448275862","45.108108108108105","52.666666666666664","158598","1023","22","2","7","13"
"3","0.5","10","150","2","59","34.310344827586206","45.472972972972975","53.666666666666664","152584","910","21","2","7","12"
"1","0.5","10","150","1","59","34.93103448275862","45.71621621621622","53.666666666666664","158606.5","1023","22","1","7","14"
"2","0.5","10","150","1.5","60","34.93333333333333","46.2027027027027","54.88636363636363","152611","934","21","2","7","12"
"3","0.5","10","150","2","60","34.310344827586206","46.08108108108108","54.666666666666664","152593.5","930","21","2","7","12"
"1","0.5","10","150","1","60","34.93103448275862","46.32432432432432","54.666666666666664","158615","1043","22","1","7","14"
"2","0.5","10","150","1.5","61","34.93333333333333","46.7972972972973","55.88636363636363","152619.5","960","21","2","7","12"
"3","0.5","10","150","2","61","34.310344827586206","46.689189189189186","55.666666666666664","152603","930","21","2","7","12"
"1","0.5","10","150","1","61","34.93103448275862","46.932432432432435","55.666666666666664","158623.5","1043","22","1","7","14"
"2","0.5","10","150","1.5","62","34.93333333333333","47.391891891891895","56.88636363636363","152628","960","21","1","7","13"
"3","0.5","10","150","2","62","34.310344827586206","47.2972972972973","56.666666666666664","152612.5","930","21","2","7","12"
"1","0.5","10","150","1","62","34.93103448275862","47.54054054054054","56.666666666666664","158632","1043","22","1","7","14"
"2","0.5","10","150","1.5","63","36.15625","47.986486486486484","58","158637.5","1006","22","1","7","13"
"3","0.5","10","150","2","63","35.61290322580645","47.9054054054054","57.76744186046512","152622","934","21","2","7","12"
"1","0.5","10","150","1","63","36.193548387096776","48.148648648648646","57.76744186046512","164641.5","1092","23","1","7","14"
"2","0.5","10","150","1.5","64","36.96969696969697","48.554054054054056","58.8780487804878","158647","1028","22","2","7","13"
"3","0.5","10","150","2","64","36.46875","48.486486486486484","58.642857142857146","152630.5","955","21","2","7","12"
"1","0.5","10","150","1","64","37.03125","48.729729729729726","58.642857142857146","164651","1115","23","2","7","14"
"2","0.5","10","150","1.5","65","36.96969696969697","49.108108108108105","59.8780487804878","158656.5","1028","22","2","7","13"
"3","0.5","10","150","2","65","36.46875","49.054054054054056","59.642857142857146","152639","955","21","1","7","13"
"1","0.5","10","150","1","65","37.03125","49.2972972972973","59.642857142857146","164660.5","1115","23","2","7","14"
"2","0.5","10","150","1.5","66","36.96969696969697","49.66216216216216","60.8780487804878","158666","1028","22","2","7","13"
"3","0.5","10","150","2","66","36.46875","49.62162162162162","60.642857142857146","152647.5","955","21","1","7","13"
"1","0.5","10","150","1","66","37.03125","49.86486486486486","60.642857142857146","164669","1138","23","2","7","14"
"3","0.5","10","150","2","67","36.46875","50.189189189189186","61.642857142857146","152656","955","21","1","7","13"
"2","0.5","10","150","1.5","67","36.96969696969697","50.21621621621622","61.8780487804878","158675.5","1028","22","2","7","13"
"3","0.5","10","150","2","68","36.46875","50.75675675675676","62.642857142857146","152664.5","955","21","1","7","13"
"2","0.5","10","150","1.5","68","36.96969696969697","50.770270270270274","62.8780487804878","158685","1028","22","2","7","13"
"1","0.5","10","150","1","67","37.90909090909091","50.432432432432435","61.51219512195122","170678.5","1184","24","1","7","15"
"3","0.5","10","150","2","69","36.46875","51.32432432432432","63.642857142857146","158674","998","22","1","7","13"
"2","0.5","10","150","1.5","69","36.96969696969697","51.32432432432432","63.8780487804878","158694.5","1028","22","2","7","13"
"1","0.5","10","150","1","68","37.90909090909091","50.986486486486484","62.51219512195122","170688","1207","24","2","7","15"
"3","0.5","10","150","2","70","38.4","51.891891891891895","65","158683.5","1044","22","2","7","13"
"1","0.5","10","150","1","69","37.90909090909091","51.54054054054054","63.51219512195122","170697.5","1207","24","2","7","15"
"2","0.5","10","150","1.5","70","38.80555555555556","51.87837837837838","65.26315789473684","158704","1048","22","2","7","13"
"3","0.5","10","150","2","71","39.7027027027027","52.41891891891892","66.13513513513513","158693","1044","22","2","7","13"
"2","0.5","10","150","1.5","71","38.80555555555556","52.391891891891895","66.26315789473684","158712.5","1069","22","2","7","13"
"1","0.5","10","150","1","70","39.666666666666664","52.0945945945946","64.86842105263158","170707","1222","24","2","7","15"
"3","0.5","10","150","2","72","39.7027027027027","52.91891891891892","67.13513513513513","158702.5","1044","22","2","7","13"
"2","0.5","10","150","1.5","72","42","52.9054054054054","67.45454545454545","158721","1069","22","1","7","14"
"1","0.5","10","150","1","71","40.08108108108108","52.608108108108105","66.13513513513513","170716.5","1232","24","2","7","15"
"3","0.5","10","150","2","73","39.7027027027027","53.41891891891892","68.13513513513513","158712","1049","22","2","7","13"
"2","0.5","10","150","1.5","73","42","53.351351351351354","68.45454545454545","158729.5","1074","22","1","7","14"
"1","0.5","10","150","1","72","40.08108108108108","53.108108108108105","67.13513513513513","170726","1232","24","2","7","15"
"3","0.5","10","150","2","74","39.7027027027027","53.91891891891892","69.13513513513513","158721.5","1051","22","2","7","13"
"2","0.5","10","150","1.5","74","42","53.7972972972973","69.45454545454545","158738","1074","22","1","7","14"
"1","0.5","10","150","1","73","40.08108108108108","53.608108108108105","68.13513513513513","170735.5","1237","24","2","7","15"
"3","0.5","10","150","2","75","39.7027027027027","54.41891891891892","70.13513513513513","158730","1072","22","2","7","13"
"2","0.5","10","150","1.5","75","42","54.24324324324324","70.45454545454545","158746.5","1074","22","1","7","14"
"1","0.5","10","150","1","74","40.08108108108108","54.108108108108105","69.13513513513513","170745","1237","24","2","7","15"
"3","0.5","10","150","2","76","40.63157894736842","54.91891891891892","71","158738.5","1072","22","1","7","14"
"2","0.5","10","150","1.5","76","42.785714285714285","54.689189189189186","71.3125","158755","1074","22","1","7","14"
"1","0.5","10","150","1","75","40.08108108108108","54.608108108108105","70.13513513513513","170753.5","1260","24","2","7","15"
"3","0.5","10","150","2","77","40.63157894736842","55.4054054054054","72","158747","1072","22","1","7","14"
"2","0.5","10","150","1.5","77","42.785714285714285","55.12162162162162","72.3125","158763.5","1074","22","1","7","14"
"1","0.5","10","150","1","76","41","55.108108108108105","71","170762","1260","24","1","7","16"
"3","0.5","10","150","2","78","40.63157894736842","55.891891891891895","73","158755.5","1072","22","1","7","14"
"2","0.5","10","150","1.5","78","42.785714285714285","55.554054054054056","73.3125","158772","1074","22","1","7","14"
"1","0.5","10","150","1","77","41","55.5945945945946","72","170770.5","1260","24","1","7","16"
"2","0.5","10","150","1.5","79","42.785714285714285","55.986486486486484","74.3125","158780.5","1074","22","1","7","14"
"3","0.5","10","150","2","79","40.63157894736842","56.37837837837838","74","158764","1072","22","1","7","14"
"1","0.5","10","150","1","78","41","56.08108108108108","73","170779","1260","24","1","7","16"
"1","0.5","10","150","1","79","41","56.567567567567565","74","170787.5","1260","24","1","7","16"
"3","0.5","10","150","2","80","40.63157894736842","56.86486486486486","75","158772.5","1084","22","1","7","14"
"2","0.5","10","150","1.5","80","42.785714285714285","56.41891891891892","75.3125","158789","1089","22","1","7","14"
"1","0.5","10","150","1","80","41","57.054054054054056","75","170796","1280","24","1","7","16"
"2","0.5","10","150","1.5","81","44.13636363636363","56.851351351351354","76.5","158797.5","1089","22","1","7","14"
"3","0.5","10","150","2","81","41.256410256410255","57.351351351351354","76.28571428571429","158781","1092","22","1","7","14"
"1","0.5","10","150","1","81","41.61538461538461","57.54054054054054","76.28571428571429","170804.5","1280","24","1","7","16"
"2","0.5","10","150","1.5","82","44.13636363636363","57.25675675675676","77.5","158806","1089","22","1","7","14"
"3","0.5","10","150","2","82","41.256410256410255","57.82432432432432","77.28571428571429","158789.5","1092","22","1","7","14"
"1","0.5","10","150","1","82","41.61538461538461","58.013513513513516","77.28571428571429","170813","1280","24","1","7","16"
"2","0.5","10","150","1.5","83","44.13636363636363","57.66216216216216","78.5","158814.5","1092","22","1","7","14"
"3","0.5","10","150","2","83","41.256410256410255","58.2972972972973","78.28571428571429","158798","1096","22","1","7","14"
"2","0.5","10","150","1.5","84","44.13636363636363","58.067567567567565","79.5","158823","1093","22","1","7","14"
"1","0.5","10","150","1","83","41.61538461538461","58.486486486486484","78.28571428571429","170821.5","1286","24","1","7","16"
"3","0.5","10","150","2","84","41.256410256410255","58.770270270270274","79.28571428571429","158806.5","1097","22","1","7","14"
