"[all run data]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
,"35.1","40.986486486486484","42.90625","104400","477","12","1","7","4","31.235294117647058","39.891891891891895","43.473684210526315","98416","312","12","2","7","3","31.235294117647058","39.891891891891895","43.473684210526315","98416","310","12","2","7","3","31.235294117647058","39.891891891891895","43.473684210526315","98416","301","12","2","7","3","30.764705882352942","39.78378378378378","43.473684210526315","98421.5","312","12","2","7","3"
,"35.625","41.851351351351354","44.56896551724138","104408.5","525","12","1","7","4","32.608695652173914","40.66216216216216","45.294117647058826","98425.5","342","12","2","7","3","32.608695652173914","40.66216216216216","45.294117647058826","98425.5","340","12","2","7","3","32.608695652173914","40.66216216216216","45.294117647058826","98425.5","313","12","2","7","3","32.26086956521739","40.554054054054056","45.294117647058826","98431","342","12","2","7","3"
,"36.470588235294116","42.63513513513514","45.473684210526315","104417","525","12","1","7","4","33.333333333333336","41.351351351351354","46.2","98435","342","12","2","7","3","33.333333333333336","41.351351351351354","46.2","98435","340","12","2","7","3","33.333333333333336","41.351351351351354","46.2","98435","321","12","2","7","3","33","41.24324324324324","46.2","98440.5","342","12","2","7","3"
,"36.470588235294116","43.4054054054054","46.473684210526315","104425.5","525","12","1","7","4","33.333333333333336","42.027027027027025","47.2","98444.5","342","12","2","7","3","33.333333333333336","42.027027027027025","47.2","98444.5","340","12","2","7","3","33.333333333333336","42.027027027027025","47.2","98444.5","321","12","2","7","3","33","41.91891891891892","47.2","98450","342","12","2","7","3"
,"36.470588235294116","44.17567567567568","47.473684210526315","104434","532","12","1","7","4","33.333333333333336","42.7027027027027","48.2","98454","348","12","2","7","3","33.333333333333336","42.7027027027027","48.2","98454","346","12","2","7","3","33.333333333333336","42.7027027027027","48.2","98454","325","12","2","7","3","33.76","42.5945945945946","48.10204081632653","98459.5","348","12","2","7","3"
,"37.388888888888886","44.945945945945944","48.375","104442.5","532","12","1","7","4","34.12","43.37837837837838","49.10204081632653","98463.5","350","12","2","7","3","34.12","43.37837837837838","49.10204081632653","98463.5","346","12","2","7","3","34.12","43.37837837837838","49.10204081632653","98463.5","325","12","2","7","3","34.5","43.25675675675676","49","98469","348","12","2","7","3"
,"37.388888888888886","45.7027027027027","49.375","104451","532","12","1","7","4","34.12","44.04054054054054","50.10204081632653","98473","350","12","2","7","3","34.12","44.04054054054054","50.10204081632653","98473","346","12","2","7","3","34.12","44.04054054054054","50.10204081632653","98473","325","12","2","7","3","34.5","43.9054054054054","50","98478.5","348","12","2","7","3"
,"37.388888888888886","46.45945945945946","50.375","104459.5","532","12","1","7","4","34.12","44.7027027027027","51.10204081632653","98482.5","350","12","2","7","3","34.12","44.7027027027027","51.10204081632653","98482.5","346","12","2","7","3","34.12","44.7027027027027","51.10204081632653","98482.5","325","12","2","7","3","34.5","44.554054054054056","51","98488","348","12","2","7","3"
,"37.388888888888886","47.21621621621622","51.375","104468","532","12","1","7","4","34.12","45.36486486486486","52.10204081632653","98492","350","12","2","7","3","34.12","45.36486486486486","52.10204081632653","98492","346","12","2","7","3","34.12","45.36486486486486","52.10204081632653","98492","325","12","2","7","3","34.5","45.2027027027027","52","98497.5","348","12","2","7","3"
,"38.421052631578945","47.972972972972975","52.27272727272727","104476.5","532","12","1","7","4","35","46.027027027027025","53","98501.5","350","12","2","7","3","35","46.027027027027025","53","98501.5","346","12","2","7","3","35","46.027027027027025","53","98501.5","325","12","2","7","3","35.333333333333336","45.851351351351354","52.8936170212766","98507","348","12","2","7","3"
